employee_code,name,department,salary
EMP001,Employee_1,IT,40000
EMP002,Employee_2,HR,41000
EMP003,Employee_3,Finance,42000
EMP004,Employee_4,Sales,43000
EMP005,Employee_5,Marketing,44000
EMP006,Employee_6,IT,45000
EMP007,Employee_7,HR,46000
EMP008,Employee_8,Finance,47000
EMP009,Employee_9,Sales,48000
EMP010,Employee_10,Marketing,49000
EMP011,Employee_11,IT,50000
EMP012,Employee_12,HR,51000
EMP013,Employee_13,Finance,52000
EMP014,Employee_14,Sales,53000
EMP015,Employee_15,Marketing,54000
EMP016,Employee_16,IT,55000
EMP017,Employee_17,HR,56000
EMP018,Employee_18,Finance,57000
EMP019,Employee_19,Sales,58000
EMP020,Employee_20,Marketing,59000
EMP021,Employee_21,IT,40000
EMP022,Employee_22,HR,41000
EMP023,Employee_23,Finance,42000
EMP024,Employee_24,Sales,43000
EMP025,Employee_25,Marketing,44000
EMP026,Employee_26,IT,45000
EMP027,Employee_27,HR,46000
EMP028,Employee_28,Finance,47000
EMP029,Employee_29,Sales,48000
EMP030,Employee_30,Marketing,49000
EMP031,Employee_31,IT,50000
EMP032,Employee_32,HR,51000
EMP033,Employee_33,Finance,52000
EMP034,Employee_34,Sales,53000
EMP035,Employee_35,Marketing,54000
EMP036,Employee_36,IT,55000
EMP037,Employee_37,HR,56000
EMP038,Employee_38,Finance,57000
EMP039,Employee_39,Sales,58000
EMP040,Employee_40,Marketing,59000
EMP041,Employee_41,IT,40000
EMP042,Employee_42,HR,41000
EMP043,Employee_43,Finance,42000
EMP044,Employee_44,Sales,43000
EMP045,Employee_45,Marketing,44000
EMP046,Employee_46,IT,45000
EMP047,Employee_47,HR,46000
EMP048,Employee_48,Finance,47000
EMP049,Employee_49,Sales,48000
EMP050,Employee_50,Marketing,49000
EMP051,Employee_51,IT,50000
EMP052,Employee_52,HR,51000
EMP053,Employee_53,Finance,52000
EMP054,Employee_54,Sales,53000
EMP055,Employee_55,Marketing,54000
EMP056,Employee_56,IT,55000
EMP057,Employee_57,HR,56000
EMP058,Employee_58,Finance,57000
EMP059,Employee_59,Sales,58000
EMP060,Employee_60,Marketing,59000
EMP061,Employee_61,IT,40000
EMP062,Employee_62,HR,41000
EMP063,Employee_63,Finance,42000
EMP064,Employee_64,Sales,43000
EMP065,Employee_65,Marketing,44000
EMP066,Employee_66,IT,45000
EMP067,Employee_67,HR,46000
EMP068,Employee_68,Finance,47000
EMP069,Employee_69,Sales,48000
EMP070,Employee_70,Marketing,49000
EMP071,Employee_71,IT,50000
EMP072,Employee_72,HR,51000
EMP073,Employee_73,Finance,52000
EMP074,Employee_74,Sales,53000
EMP075,Employee_75,Marketing,54000
EMP076,Employee_76,IT,55000
EMP077,Employee_77,HR,56000
EMP078,Employee_78,Finance,57000
EMP079,Employee_79,Sales,58000
EMP080,Employee_80,Marketing,59000
EMP081,Employee_81,IT,40000
EMP082,Employee_82,HR,41000
EMP083,Employee_83,Finance,42000
EMP084,Employee_84,Sales,43000
EMP085,Employee_85,Marketing,44000
EMP086,Employee_86,IT,45000
EMP087,Employee_87,HR,46000
EMP088,Employee_88,Finance,47000
EMP089,Employee_89,Sales,48000
EMP090,Employee_90,Marketing,49000
EMP091,Employee_91,IT,50000
EMP092,Employee_92,HR,51000
EMP093,Employee_93,Finance,52000
EMP094,Employee_94,Sales,53000
EMP095,Employee_95,Marketing,54000
EMP096,Employee_96,IT,55000
EMP097,Employee_97,HR,56000
EMP098,Employee_98,Finance,57000
EMP099,Employee_99,Sales,58000
EMP100,Employee_100,Marketing,59000
EMP101,Employee_101,IT,40000
EMP102,Employee_102,HR,41000
EMP103,Employee_103,Finance,42000
EMP104,Employee_104,Sales,43000
EMP105,Employee_105,Marketing,44000
EMP106,Employee_106,IT,45000
EMP107,Employee_107,HR,46000
EMP108,Employee_108,Finance,47000
EMP109,Employee_109,Sales,48000
EMP110,Employee_110,Marketing,49000
EMP111,Employee_111,IT,50000
EMP112,Employee_112,HR,51000
EMP113,Employee_113,Finance,52000
EMP114,Employee_114,Sales,53000
EMP115,Employee_115,Marketing,54000
EMP116,Employee_116,IT,55000
EMP117,Employee_117,HR,56000
EMP118,Employee_118,Finance,57000
EMP119,Employee_119,Sales,58000
EMP120,Employee_120,Marketing,59000
EMP121,Employee_121,IT,40000
EMP122,Employee_122,HR,41000
EMP123,Employee_123,Finance,42000
EMP124,Employee_124,Sales,43000
EMP125,Employee_125,Marketing,44000
EMP126,Employee_126,IT,45000
EMP127,Employee_127,HR,46000
EMP128,Employee_128,Finance,47000
EMP129,Employee_129,Sales,48000
EMP130,Employee_130,Marketing,49000
EMP131,Employee_131,IT,50000
EMP132,Employee_132,HR,51000
EMP133,Employee_133,Finance,52000
EMP134,Employee_134,Sales,53000
EMP135,Employee_135,Marketing,54000
EMP136,Employee_136,IT,55000
EMP137,Employee_137,HR,56000
EMP138,Employee_138,Finance,57000
EMP139,Employee_139,Sales,58000
EMP140,Employee_140,Marketing,59000
EMP141,Employee_141,IT,40000
EMP142,Employee_142,HR,41000
EMP143,Employee_143,Finance,42000
EMP144,Employee_144,Sales,43000
EMP145,Employee_145,Marketing,44000
EMP146,Employee_146,IT,45000
EMP147,Employee_147,HR,46000
EMP148,Employee_148,Finance,47000
EMP149,Employee_149,Sales,48000
EMP150,Employee_150,Marketing,49000
EMP151,Employee_151,IT,50000
EMP152,Employee_152,HR,51000
EMP153,Employee_153,Finance,52000
EMP154,Employee_154,Sales,53000
EMP155,Employee_155,Marketing,54000
EMP156,Employee_156,IT,55000
EMP157,Employee_157,HR,56000
EMP158,Employee_158,Finance,57000
EMP159,Employee_159,Sales,58000
EMP160,Employee_160,Marketing,59000
EMP161,Employee_161,IT,40000
EMP162,Employee_162,HR,41000
EMP163,Employee_163,Finance,42000
EMP164,Employee_164,Sales,43000
EMP165,Employee_165,Marketing,44000
EMP166,Employee_166,IT,45000
EMP167,Employee_167,HR,46000
EMP168,Employee_168,Finance,47000
EMP169,Employee_169,Sales,48000
EMP170,Employee_170,Marketing,49000
EMP171,Employee_171,IT,50000
EMP172,Employee_172,HR,51000
EMP173,Employee_173,Finance,52000
EMP174,Employee_174,Sales,53000
EMP175,Employee_175,Marketing,54000
EMP176,Employee_176,IT,55000
EMP177,Employee_177,HR,56000
EMP178,Employee_178,Finance,57000
EMP179,Employee_179,Sales,58000
EMP180,Employee_180,Marketing,59000
EMP181,Employee_181,IT,40000
EMP182,Employee_182,HR,41000
EMP183,Employee_183,Finance,42000
EMP184,Employee_184,Sales,43000
EMP185,Employee_185,Marketing,44000
EMP186,Employee_186,IT,45000
EMP187,Employee_187,HR,46000
EMP188,Employee_188,Finance,47000
EMP189,Employee_189,Sales,48000
EMP190,Employee_190,Marketing,49000
EMP191,Employee_191,IT,50000
EMP192,Employee_192,HR,51000
EMP193,Employee_193,Finance,52000
EMP194,Employee_194,Sales,53000
EMP195,Employee_195,Marketing,54000
EMP196,Employee_196,IT,55000
EMP197,Employee_197,HR,56000
EMP198,Employee_198,Finance,57000
EMP199,Employee_199,Sales,58000
EMP200,Employee_200,Marketing,59000
EMP201,Employee_201,IT,40000
EMP202,Employee_202,HR,41000
EMP203,Employee_203,Finance,42000
EMP204,Employee_204,Sales,43000
EMP205,Employee_205,Marketing,44000
EMP206,Employee_206,IT,45000
EMP207,Employee_207,HR,46000
EMP208,Employee_208,Finance,47000
EMP209,Employee_209,Sales,48000
EMP210,Employee_210,Marketing,49000
EMP211,Employee_211,IT,50000
EMP212,Employee_212,HR,51000
EMP213,Employee_213,Finance,52000
EMP214,Employee_214,Sales,53000
EMP215,Employee_215,Marketing,54000
EMP216,Employee_216,IT,55000
EMP217,Employee_217,HR,56000
EMP218,Employee_218,Finance,57000
EMP219,Employee_219,Sales,58000
EMP220,Employee_220,Marketing,59000
EMP221,Employee_221,IT,40000
EMP222,Employee_222,HR,41000
EMP223,Employee_223,Finance,42000
EMP224,Employee_224,Sales,43000
EMP225,Employee_225,Marketing,44000
EMP226,Employee_226,IT,45000
EMP227,Employee_227,HR,46000
EMP228,Employee_228,Finance,47000
EMP229,Employee_229,Sales,48000
EMP230,Employee_230,Marketing,49000
EMP231,Employee_231,IT,50000
EMP232,Employee_232,HR,51000
EMP233,Employee_233,Finance,52000
EMP234,Employee_234,Sales,53000
EMP235,Employee_235,Marketing,54000
EMP236,Employee_236,IT,55000
EMP237,Employee_237,HR,56000
EMP238,Employee_238,Finance,57000
EMP239,Employee_239,Sales,58000
EMP240,Employee_240,Marketing,59000
EMP241,Employee_241,IT,40000
EMP242,Employee_242,HR,41000
EMP243,Employee_243,Finance,42000
EMP244,Employee_244,Sales,43000
EMP245,Employee_245,Marketing,44000
EMP246,Employee_246,IT,45000
EMP247,Employee_247,HR,46000
EMP248,Employee_248,Finance,47000
EMP249,Employee_249,Sales,48000
EMP250,Employee_250,Marketing,49000
EMP251,Employee_251,IT,50000
EMP252,Employee_252,HR,51000
EMP253,Employee_253,Finance,52000
EMP254,Employee_254,Sales,53000
EMP255,Employee_255,Marketing,54000
EMP256,Employee_256,IT,55000
EMP257,Employee_257,HR,56000
EMP258,Employee_258,Finance,57000
EMP259,Employee_259,Sales,58000
EMP260,Employee_260,Marketing,59000
EMP261,Employee_261,IT,40000
EMP262,Employee_262,HR,41000
EMP263,Employee_263,Finance,42000
EMP264,Employee_264,Sales,43000
EMP265,Employee_265,Marketing,44000
EMP266,Employee_266,IT,45000
EMP267,Employee_267,HR,46000
EMP268,Employee_268,Finance,47000
EMP269,Employee_269,Sales,48000
EMP270,Employee_270,Marketing,49000
EMP271,Employee_271,IT,50000
EMP272,Employee_272,HR,51000
EMP273,Employee_273,Finance,52000
EMP274,Employee_274,Sales,53000
EMP275,Employee_275,Marketing,54000
EMP276,Employee_276,IT,55000
EMP277,Employee_277,HR,56000
EMP278,Employee_278,Finance,57000
EMP279,Employee_279,Sales,58000
EMP280,Employee_280,Marketing,59000
